Date, Open, High, Low, Close
06/21/24, 8272.46, 8282.66, 8188.12, 8237.72
06/20/24, 8205.11, 8272.46, 8203.62, 8272.46
06/19/24, 8191.29, 8212.65, 8164.48, 8205.11
06/18/24, 8142.15, 8199.95, 8142.15, 8191.29
06/17/24, 8146.86, 8187.25, 8120.89, 8142.15
06/14/24, 8163.67, 8178.21, 8112.93, 8146.86
06/13/24, 8215.48, 8215.48, 8147.44, 8163.67
06/12/24, 8147.81, 8243.22, 8147.81, 8215.48
06/11/24, 8228.48, 8261.74, 8114.84, 8147.81
06/10/24, 8245.37, 8245.37, 8183.47, 8228.48
06/07/24, 8285.34, 8297.01, 8210.23, 8245.37
06/06/24, 8246.95, 8287.07, 8246.95, 8285.34
06/05/24, 8232.04, 8276.55, 8232.04, 8246.95
06/04/24, 8262.75, 8263.38, 8200.26, 8232.04
06/03/24, 8275.38, 8371.72, 8258.86, 8262.75
05/31/24, 8231.05, 8289.22, 8231.05, 8275.38
05/30/24, 8183.07, 8236.25, 8148.49, 8231.05
05/29/24, 8254.18, 8255.39, 8180.03, 8183.07
05/28/24, 8317.59, 8335.46, 8241.33, 8254.18
05/27/24, 8339.23, 8339.23, 8263.77, 8317.59
05/24/24, 8339.23, 8339.23, 8263.77, 8317.59
05/23/24, 8370.33, 8385.23, 8332.27, 8339.23
05/22/24, 8416.45, 8416.45, 8343.36, 8370.33
05/21/24, 8424.20, 8424.20, 8379.12, 8416.45
05/20/24, 8420.26, 8451.64, 8417.95, 8424.20
05/17/24, 8438.65, 8441.68, 8401.40, 8420.26
05/16/24, 8445.80, 8455.66, 8406.69, 8438.65
05/15/24, 8428.13, 8474.41, 8427.92, 8445.80
05/14/24, 8414.99, 8448.67, 8406.96, 8428.13
05/13/24, 8433.76, 8446.46, 8409.15, 8414.99
05/10/24, 8381.35, 8455.77, 8381.35, 8433.76
05/09/24, 8354.05, 8396.25, 8349.83, 8381.35
05/08/24, 8313.67, 8365.28, 8313.67, 8354.05
05/07/24, 8213.49, 8335.68, 8213.49, 8313.67
05/03/24, 8172.15, 8248.73, 8172.15, 8213.49
05/02/24, 8121.24, 8178.76, 8119.85, 8172.15
05/01/24, 8144.13, 8178.95, 8111.38, 8121.24
04/30/24, 8147.03, 8199.95, 8138.14, 8144.13
04/29/24, 8139.83, 8189.14, 8136.71, 8147.03
04/26/24, 8078.86, 8146.79, 8078.86, 8139.83
04/25/24, 8040.38, 8105.59, 8030.05, 8078.86
04/24/24, 8044.81, 8092.20, 8031.79, 8040.38
04/23/24, 8023.87, 8076.52, 8021.67, 8044.81
04/22/24, 7895.85, 8042.81, 7895.85, 8023.87
04/19/24, 7877.05, 7900.51, 7809.68, 7895.85
04/18/24, 7847.99, 7898.77, 7845.89, 7877.05
04/17/24, 7820.36, 7893.62, 7798.57, 7847.99
04/16/24, 7965.53, 7965.53, 7793.91, 7820.36
04/15/24, 7995.58, 8009.52, 7952.14, 7965.53
04/12/24, 7923.80, 8044.98, 7923.80, 7995.58
04/11/24, 7961.21, 7970.09, 7886.89, 7923.80
04/10/24, 7934.79, 7999.84, 7916.53, 7961.21
04/09/24, 7943.47, 7962.78, 7917.47, 7934.79
04/08/24, 7911.16, 7953.16, 7887.92, 7943.47
04/05/24, 7975.89, 7975.89, 7884.45, 7911.16
04/04/24, 7937.44, 7990.41, 7937.37, 7975.89
04/03/24, 7935.09, 7937.44, 7882.68, 7937.44
04/02/24, 7952.62, 8015.63, 7928.59, 7935.09
03/28/24, 7931.98, 7975.38, 7931.36, 7952.62
03/27/24, 7930.96, 7938.14, 7893.00, 7931.98
03/26/24, 7917.57, 7934.37, 7892.08, 7930.96
03/25/24, 7930.92, 7939.38, 7891.72, 7917.57
03/22/24, 7882.55, 7961.43, 7882.19, 7930.92
03/21/24, 7737.38, 7901.80, 7737.38, 7882.55
03/20/24, 7738.30, 7749.39, 7711.46, 7737.38
03/19/24, 7722.55, 7739.67, 7699.57, 7738.30
03/18/24, 7727.42, 7750.17, 7714.90, 7722.55
03/15/24, 7743.15, 7761.06, 7727.42, 7727.42
03/14/24, 7772.17, 7778.39, 7719.11, 7743.15
03/13/24, 7747.81, 7785.73, 7738.73, 7772.17
03/12/24, 7669.23, 7764.58, 7669.23, 7747.81
03/11/24, 7659.74, 7669.23, 7612.62, 7669.23
03/08/24, 7692.46, 7693.89, 7646.20, 7659.74
03/07/24, 7679.31, 7711.78, 7645.06, 7692.46
03/06/24, 7646.16, 7701.25, 7639.03, 7679.31
03/05/24, 7640.33, 7654.81, 7598.47, 7646.16
03/04/24, 7682.50, 7682.64, 7623.22, 7640.33
